Mineral,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023,2023 - 2024,2024 - 2025
Bauxite,28281561.34,262230739.7,272416223.3,228446523.7,204143304,86434099,110223140,116421874,172325182.8,186290959,221516207
C0AL,0,0,0,0,0,0,0,0,0,44000000,296124000
China Clay,0,0,0,0,0,0,0,0,0,0,0
Chromite,0,50000,0,0,0,0,0,0,0,0,0
Coal,1602731,25404581,56516659,142605673,135891110.6,119310475,58012939,1578698455,1018204625,810695381,801948489
Corundum,0,0,0,0,0,0,0,0,0,0,0
Dolomite,11100,17264625,34353150,39600144,33810577,36681500,49835636,70055286,73298610,116249907.8,120569045
Fire Clay,0,0,0,0,0,0,0,0,0,0,0
Flespar,0,0,0,0,0,0,0,0,0,0,0
Fluorite,0,103680,1935150,490506,259625,1577551,698889,960630,431317,792000,396000
Iron Ore,1588934,177253821.9,199580366,185119687,247531998,213901163.7,290074810.5,1031615649,5520903225,7443802146,9718395899
Kynite,3554,124954,835515,3114149,2056981,993959,582495,406245,165264,757241,902605
Laterite,0,9686952,5441681,10900963,147406,0,0,0,0,0,0
Lateritic/Iron Ore,188005,5793223,7064525,8123700,0,0,0,0,120000,0,100000
Limestone,424599497,846276031,995275858,1301690489,1176066417,1547094095,1383107244,1828256176,1451535306,1606361895,1695853388
Low Fire Clay,0,0,0,0,0,0,0,0,0,0,0
Manganese,5981126,76645521.49,296202334,304341282.6,277310819.4,315628659.2,341392218,579711839,526587879.5,114884169.5,421514668
Pyrophyllite,0,35300,79200,60000,26542,36627,17600,73060,8800,4400,18050
Quartz,0,25500,0,0,0,35000,400000,0,0,0,0
Quartzite,250200,2471581,3373010,1747436,1437818,446789,216000,0,0,0,0
Sand,0,0,0,0,0,0,0,0,0,0,0
Sand Stowing,63090,63090,63090,63090,63090,63270,63270,816030,464850,369000,479700
Shale,0,5577122,0,0,482328,3648260,4016872,1363015,0,0,0
Silica Sand,0,0,0,0,0,0,0,0,0,0,0
Silliminite,100700,87100,546777,508942,2025069,2104696,1768325,675839,72000,0,0
Waste (Minor),0,0,0,0,0,0,0,0,0,55984952,140408352
Waste Low Grade Quartzite (Minor),0,0,0,0,0,0,0,0,0,498000,444000
White Clay,0,0,0,0,0,0,0,0,0,0,0
Total,"46,26,70,498.34","1,42,90,93,822.06","1,87,36,83,538.32","2,22,68,12,585.40","2,08,12,53,084.50","2,32,79,56,143.51","2,24,04,09,438.30","5,20,90,54,098.15","8,76,41,17,059.76","10,38,06,90,051.27","13,41,86,70,403.46"
